time,open,high,low,close,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Volume,RSI,RSI
1577836800,129.89999999999998,130.65,128.68,129.7825,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19113.82852,NaN,48.5017139300838
1577844000,129.84125,130.98,129.84125,130.4375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12571.91056,NaN,48.5017139300838
1577851200,130.139375,130.74,130.11,130.34000000000003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7641.51387,NaN,48.5017139300838
1577858400,130.2396875,130.75,130.14,130.36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7816.07579,NaN,49.690559719441474
1577865600,130.29984375,130.62,129.87,130.225,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12349.64993,NaN,49.690559719441474
1577872800,130.262421875,131.87,130.07,130.71249999999998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15473.29202,NaN,49.690559719441474
1577880000,130.48746093749997,131.9,130.48746093749997,131.255,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11323.95969,NaN,49.690559719441474
1577887200,130.87123046874999,132.4,130.87123046874999,131.845,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12686.32688,NaN,53.88884207857651
1577894400,131.358115234375,133.05,131.358115234375,132.3125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12339.21638,NaN,53.88884207857651
1577901600,131.83530761718748,132.46,131.57,132.0575,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7819.00783,NaN,53.88884207857651
1577908800,131.94640380859374,132.37,131.68,131.9225,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6894.2131,NaN,53.88884207857651
