time,open,high,low,close,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Volume,RSI,Regular Bullish Label,Regular Bearish Label
1719792000,62698.005000000005,62809.01,62573.32,62694.585,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,416.77792,NaN,NaN,NaN
1719792900,62696.295,62744.99,62621.4,62677.60249999999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,196.18162,NaN,NaN,NaN
1719793800,62686.948749999996,62839.49,62684,62762.027500000004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,192.89394,NaN,NaN,NaN
1719794700,62724.488125,62944,62724.488125,62869.4075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,181.27297,NaN,NaN,NaN
1719795600,62796.9478125,63653.37,62796.9478125,63282.765,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1135.4786,NaN,NaN,NaN
1719796500,63039.85640625,63650,63039.85640625,63548,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,471.96011,NaN,NaN,NaN
1719797400,63293.928203125004,63663,63293.928203125004,63560.932499999995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,392.69738,NaN,NaN,NaN
1719798300,63427.4303515625,63730,63427.4303515625,63632.3525,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,570.26562,NaN,NaN,NaN
1719799200,63529.89142578125,63818.33,63375.3,63590.4825,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1027.20191,NaN,NaN,NaN
1719800100,63560.18696289063,63614.24,63513.51,63556.945,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,399.97999,NaN,NaN,NaN
1719801000,63558.56598144531,63605.55,63349.6,63479.4225,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,429.59248,NaN,NaN,NaN
1719801900,63518.994240722655,63518.994240722655,63288.53,63390.595,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,180.55793,NaN,NaN,NaN
1719802800,63454.794620361325,63536.47,63376.4,63451.527500000004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,377.81124,NaN,NaN,NaN
1719803700,63453.16106018066,63518.34,63395.99,63457.1575,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,461.83632,NaN,NaN,NaN
1719804600,63455.15928009033,63468,63340,63409.159999999996,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,256.6094,76.90316629644921,NaN,NaN
1719805500,63432.15964004517,63477.28,63371.71,63414.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,168.20585,77.00460647455296,NaN,NaN
1719806400,63423.37982002259,63466.92,63364.01,63415.945,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,153.62747,77.03146603489682,NaN,NaN
1719807300,63419.6624100113,63438.26,63340,63380.3525,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92.30793,74.54989903205009,NaN,NaN
1719808200,63400.007455005645,63400.007455005645,63223.25,63291.19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,180.4943,68.58888666807158,NaN,NaN
1719809100,63345.598727502824,63345.598727502824,63223.2,63259.700000000004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90.7231,66.56451232436325,NaN,NaN
1719810000,63302.649363751414,63365.73,63262,63311.957500000004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,112.77185,68.2397690672291,NaN,NaN
1719810900,63307.30343187571,63425.47,63307.30343187571,63368.3775,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94.74246,69.98814830398388,NaN,NaN
1719811800,63337.84046593786,63457.47,63337.84046593786,63403.19500000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,133.63637,71.04737547517212,NaN,NaN
1719812700,63370.51773296893,63447.98,63370.51773296893,63416.2325,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77.11424,71.45365805848813,NaN,NaN
1719813600,63393.375116484465,63456.97,63381.32,63413.14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97.60886,71.19844034266477,NaN,NaN
1719814500,63403.25755824223,63403.25755824223,63293.75,63360.270000000004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,122.94334,66.80523852555518,NaN,NaN
1719815400,63381.76377912112,63420,63344.17,63377.042499999996,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,170.25058,67.49055844810422,NaN,NaN
1719816300,63379.403139560556,63464.74,63337.32,63392.0175,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,135.80552,68.12333502777241,NaN,NaN
1719817200,63385.71031978028,63432,63350,63404.4975,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,122.13943,68.67063437013057,NaN,NaN
1719818100,63395.10390989014,63432,63303.93,63370.4125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83.38598,65.36951877307541,NaN,NaN
1719819000,63382.75820494507,63382.75820494507,63300.01,63327.880000000005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,142.37748,61.402896663900464,NaN,NaN
1719819900,63355.31910247254,63362.91,63260.71,63309.0825,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,138.94006,59.679309711809054,NaN,NaN
1719820800,63332.200801236264,63332.200801236264,63258.79,63277.9075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,118.85658,56.83016625445659,NaN,NaN
1719821700,63305.05415061813,63305.05415061813,63092.68,63191.1325,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,262.19448,49.71549070506676,NaN,NaN
1719822600,63248.09332530906,63248.09332530906,62836.47,62992.0775,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,485.07435,37.97188456972313,NaN,NaN
1719823500,63120.08541265453,63120.08541265453,62848,62912.7825,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,522.76495,34.477995213731134,NaN,NaN
1719824400,63016.433956327266,63016.433956327266,62868.01,62919.00750000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,181.46468,34.98375825837249,NaN,NaN
1719825300,62967.72072816364,62967.72072816364,62789.16,62858.9225,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,286.38503,32.38528067703548,NaN,NaN
1719826200,62913.32161408182,62945.74,62835.52,62874.915,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,121.80917,33.79482719050213,NaN,NaN
1719827100,62894.11830704091,62970,62860.01,62911.745,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,141.5231,37.04950037903457,NaN,NaN
1719828000,62902.931653520456,62977.99,62895.4,62928.7325,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,212.06355,38.550046861341436,NaN,NaN
