time,open,high,low,close,RSI,Regular Bullish Label,Regular Bearish Label
1502928000,297.54499999999996,312.18,283.94,297.8025,NaN,NaN,NaN
1503100800,297.67375,300.53,278,292.89750000000004,NaN,NaN,NaN
1503273600,295.285625,346.52,144.21,274.9075,NaN,NaN,NaN
1503446400,285.0965625,328.04,285.0965625,318.28000000000003,NaN,NaN,NaN
1503619200,301.68828125000005,338.28,301.68828125000005,328.975,NaN,NaN,NaN
1503792000,315.33164062500003,351,315.33164062500003,339.9775,NaN,NaN,NaN
1503964800,327.6545703125,393.71,327.6545703125,367.91,NaN,NaN,NaN
1504137600,347.78228515625005,394.39,347.78228515625005,386.3175,NaN,NaN,NaN
1504310400,367.049892578125,394.32,320.08,361.15749999999997,NaN,NaN,NaN
1504483200,364.1036962890625,364.1036962890625,235.55,308.48999999999995,NaN,NaN,NaN
1504656000,336.2968481445312,342.5,312.09,325.5925,NaN,NaN,NaN
1504828800,330.94467407226557,335.1,272,309.5825,NaN,NaN,NaN
1505001600,320.2635870361328,320.2635870361328,261.03,290.0075,NaN,NaN,NaN
1505174400,305.13554351806636,316.46,257.05,286.93,NaN,NaN,NaN
1505347200,296.03277175903315,296.03277175903315,192,251.42000000000002,42.35640186877385,NaN,NaN
1505520000,273.72638587951656,273.72638587951656,235.51,255.21499999999997,43.12254568719507,NaN,NaN
1505692800,264.47069293975824,306.22,257.11,276.22,47.29780552804823,NaN,NaN
1505865600,270.34534646987913,294,252.1,271.77750000000003,46.51999740596018,NaN,NaN
1506038400,271.0614232349396,286.23,253.01,270.5425,46.29208789140659,NaN,NaN
1506211200,270.80196161746983,299,270.80196161746983,288.58750000000003,50.13609081525023,NaN,NaN
1506384000,279.6947308087349,313,279.6947308087349,300.8225,52.61260080424886,NaN,NaN
1506556800,290.25861540436745,311.81,274,296.9425,51.735092120017285,NaN,NaN
1506729600,293.6005577021837,307.49,292.22,299.07,52.20580848608254,NaN,NaN
1506902400,296.33527885109186,305,283.18,296.15000000000003,51.463936814339384,NaN,NaN
1507075200,296.2426394255459,297.97,285.53,292.695,50.548624742718836,NaN,NaN
1507248000,294.468819712773,318.5,293.78,304.525,53.59216380946904,NaN,NaN
1507420800,299.4969098563865,317.07,286.65,302.9975,53.13740408106541,NaN,NaN
1507593600,301.24720492819324,308.56,293,300.73,52.42622325541588,NaN,NaN
1507766400,300.98860246409663,353.96,297,323.2325,58.379489021005924,NaN,NaN
1507939200,312.11055123204835,349.8,312.11055123204835,335.4725,61.22203797260506,NaN,NaN
1508112000,323.79152561602416,354,312.65,329.95,59.25564959685773,NaN,NaN
1508284800,326.87076280801205,326.87076280801205,284.68,306.63250000000005,51.70438274524517,NaN,NaN
1508457600,316.75163140400605,316.75163140400605,290,302.195,50.38836606406584,NaN,NaN
1508630400,309.473315702003,309.473315702003,272.2,289.805,46.80612852307089,NaN,NaN
1508803200,299.6391578510015,310,275.5,290.565,47.054772471305746,NaN,NaN
1508976000,295.1020789255008,299.76,291.03,295.4025,48.698531531094915,NaN,NaN
1509148800,295.25228946275035,309.4,290.1,300.2075,50.34748973496809,NaN,NaN
1509321600,297.72989473137517,316,297.72989473137517,307,52.66378702854411,NaN,NaN
1509494400,302.3649473656876,305.9,274.73,292.15999999999997,47.455136128612914,NaN,NaN
1509667200,297.2624736828438,307,282,292.54,47.59805676331923,NaN,NaN
1509840000,294.9012368414219,305.58,290.11,297.925,49.686561470030064,NaN,NaN
1510012800,296.41311842071093,320,287,301.9975,51.26838820206227,NaN,NaN
1510185600,299.2053092103555,329,285.82,302.98,51.66321698422407,NaN,NaN
1510358400,301.09265460517776,318,281.01,299.4375,50.08746077563922,NaN,NaN
1510531200,300.2650773025889,337.54,300.2650773025889,320.2125,58.14917598013299,NaN,NaN
1510704000,310.23878865129444,339,310.23878865129444,331.875,61.87219221907122,NaN,NaN
1510876800,321.05689432564725,349.9,321.05689432564725,337.9725,63.69085338898567,NaN,NaN
1511049600,329.5146971628236,373.56,329.5146971628236,357.6775,68.86019426460874,NaN,NaN
1511222400,343.5960985814118,384.84,343.5960985814118,370.73249999999996,71.73166550908988,NaN,NaN
1511395200,357.1642992907059,475,357.1642992907059,423.6625,79.84608820676337,NaN,NaN
1511568000,390.41339964535297,484.47,390.41339964535297,462.75499999999994,83.59222289272458,NaN,NaN
1511740800,426.58419982267645,486.94,426.58419982267645,467.2375,83.96037706399353,NaN,NaN
1511913600,446.91084991133823,515,385,448.40000000000003,76.22041329718343,NaN,NaN
1512086400,447.6554249556691,471.91,413.74,442.8325,74.04772263800851,NaN,NaN
1512259200,445.24396247783454,485.9,440.11,462.49500000000006,76.58613883389701,NaN,NaN
1512432000,453.8694812389173,468.67,400,436.5775,67.24902972792125,NaN,NaN
1512604800,445.22349061945863,456.78,375.01,421.8325,62.57491988453276,NaN,NaN
1512777600,433.5279953097293,488,403.2,440.9125,65.87970999401479,NaN,NaN
1512950400,437.2202476548647,639.27,427.4,528.3675000000001,76.23745230753899,NaN,NaN
1513123200,482.7938738274324,747.6,482.7938738274324,646.6999999999999,83.52500559391264,NaN,NaN
1513296000,564.7469369137161,712,564.7469369137161,666.485,84.38716432122102,NaN,NaN
1513468800,615.6159684568581,798.88,615.6159684568581,725.7625,86.64256421629698,NaN,NaN
1513641600,670.6892342284291,864.9,661,775.0275,88.171860072971,NaN,NaN
1513814400,722.8583671142146,845.99,504.99,695.3925000000002,73.5191185387894,NaN,NaN
1513987200,709.1254335571074,714.99,563.49,642.9075,65.76232957281086,NaN,NaN
1514160000,676.0164667785536,750,599.99,689.8475000000001,68.92058391865716,NaN,NaN
1514332800,682.9319833892769,766.05,645.88,717.4549999999999,70.6362138961465,NaN,NaN
1514505600,700.1934916946384,757.87,635.82,696.0625,67.52565297763951,NaN,NaN
1514678400,698.1279958473192,740,672.86,706.7125,68.27466748812815,NaN,NaN
1514764800,702.4202479236596,899.5,702.4202479236596,801.1475,74.00097780144661,NaN,NaN
1514937600,751.7838739618298,1009.72,751.7838739618298,903.7125,78.53299058584943,NaN,NaN
1515110400,827.7481869809149,1045,827.7481869809149,979.7775,81.15641211148333,NaN,NaN
1515283200,903.7628434904575,1239.18,903.7628434904575,1071.5175000000002,83.73770310485533,NaN,NaN
1515456000,987.6401717452288,1440,987.6401717452288,1231.2575000000002,87.06127135145388,NaN,NaN
1515628800,1109.4488358726144,1332.49,1021,1214.0974999999999,85.05038608673144,NaN,NaN
1515801600,1161.7731679363071,1427.01,1161.7731679363071,1312.1925,86.91147553701343,NaN,NaN
1515974400,1236.9828339681535,1383.13,780,1127.78,69.41602345935569,NaN,NaN
1516147200,1182.3814169840766,1182.3814169840766,755,956.125,57.76054481687745,NaN,NaN
1516320000,1069.2532084920383,1165.4,941,1063.1125,62.03884332520574,NaN,NaN
1516492800,1066.1828542460191,1152.69,908,1051.0149999999999,61.28298575622137,NaN,NaN
1516665600,1058.5989271230096,1074,909,1009.25,58.62729402028177,NaN,NaN
1516838400,1033.9244635615048,1115,986,1053.0925,60.559475588478826,NaN,NaN
1517011200,1043.5084817807524,1277,1032.2,1153.0475,64.61667660881972,NaN,NaN
1517184000,1098.2779908903763,1258.89,1051,1161.8375,64.95805893632246,NaN,NaN
1517356800,1130.0577454451882,1164.99,981,1068.1399999999999,58.48095748512864,NaN,NaN
1517529600,1099.098872722594,1099.098872722594,783.67,960.94,52.08229452360421,NaN,NaN
1517702400,1030.019436361297,1030.019436361297,634.94,819.715,45.08390978881657,NaN,NaN
1517875200,924.8672181806485,924.8672181806485,570.1,717.7574999999999,40.8194223682901,NaN,NaN
1518048000,821.3123590903242,882.2,751,815.6650000000001,46.09263004990878,NaN,NaN
1518220800,818.4886795451621,911.2,768.28,841.1875,47.40817547468764,NaN,NaN
1518393600,829.838089772581,877.56,807.46,833.7925,47.04990083629665,NaN,NaN
1518566400,831.8152948862905,946.66,831.8152948862905,888.52,50.05792631479469,NaN,NaN
1518739200,860.1676474431453,974,860.1676474431453,942.4749999999999,52.89883424674648,NaN,NaN
1518912000,901.3213237215725,978.5,897,945.9,53.08128692465928,NaN,NaN
1519084800,923.6106618607862,961,812.87,887.2325,49.54125423123479,NaN,NaN
1519257600,905.421580930393,905.421580930393,785.99,839.735,46.8188984996027,NaN,NaN
1519430400,872.5782904651965,875,805,843.195,47.04717282062819,NaN,NaN
1519603200,857.8866452325983,897.49,833,860.515,48.24476914322758,NaN,NaN
1519776000,859.2008226162991,891,848.65,870.5300000000001,48.963538586713454,NaN,NaN
1519948800,864.8654113081495,876.22,850,863.2175,48.43461755120097,NaN,NaN
1520121600,864.0414556540748,871.75,836.24,853.585,47.70360130074314,NaN,NaN
1520294400,858.8132278270374,858.8132278270374,718.4,792.8225,43.26738137639591,NaN,NaN
1520467200,825.8178639135187,825.8178639135187,640,721.2,38.69902053653536,NaN,NaN
1520640000,773.5089319567594,773.5089319567594,659.15,712.1625,38.151631095109856,NaN,NaN
1520812800,742.8357159783798,742.8357159783798,676.31,706.9375,37.81856976570633,NaN,NaN
1520985600,724.8866079891899,724.8866079891899,570,643.1324999999999,33.923905326078895,NaN,NaN
1521158400,684.0095539945949,684.0095539945949,544,581.27,30.630285784468654,NaN,NaN
1521331200,632.6397769972974,632.6397769972974,450,528.715,28.1314856879534,NaN,NaN
1521504000,580.6773884986487,590.52,515,555.3925,31.199705933117173,NaN,NaN
1521676800,568.0349442493243,578.6,506.71,546.8725,30.748217162179245,NaN,NaN
1521849600,557.4537221246621,557.4537221246621,512,531.2325000000001,29.893054780760096,NaN,NaN
1522022400,544.3431110623311,544.3431110623311,446,486.53,27.535802158642056,NaN,NaN
1522195200,515.4365555311656,515.4365555311656,380,419.625,24.43065373217597,NaN,NaN
1522368000,467.5307777655828,467.5307777655828,366,390.7975,23.215860120904466,NaN,NaN
1522540800,429.1641388827914,429.1641388827914,356.9,383.9475,22.924164969591644,NaN,NaN
1522713600,406.55581944139567,419.08,370,388.06,23.54524697169714,NaN,NaN
1522886400,397.3079097206978,397.3079097206978,362.54,374.15250000000003,22.873972484955416,NaN,NaN
1523059200,385.7302048603489,404.05,368.28,385.405,24.743473463983705,NaN,NaN
1523232000,385.5676024301745,431.99,385.5676024301745,408.89,28.631740349011636,NaN,NaN
1523404800,397.22880121508723,499,397.22880121508723,455.145,35.68042187035414,NaN,NaN
1523577600,426.18690060754363,530,426.18690060754363,501.8,41.912198957540866,NaN,NaN
1523750400,463.99345030377185,538,463.99345030377185,512.3625,43.2526999435241,NaN,NaN
1523923200,488.1779751518859,526.99,488.1779751518859,516.2975,43.77328014609465,NaN,NaN
1524096000,502.23773757594296,622.17,502.23773757594296,571.6949999999999,50.63858959983337,NaN,NaN
1524268800,536.9663687879714,643.49,536.9663687879714,612.86,55.0323852809569,NaN,NaN
1524441600,574.9131843939857,712.99,574.9131843939857,663.3149999999999,59.7602821871355,NaN,NaN
1524614400,619.1140921969928,703.3,593.83,664.95,59.90738830155024,NaN,NaN
1524787200,642.0320460984965,694.9,635.73,668.75,60.27091381522068,NaN,NaN
1524960000,655.3910230492482,700.49,655.3910230492482,679.2425000000001,61.31396316010761,NaN,NaN
1525132800,667.3167615246241,691.99,627.58,669.7275,59.78119878969086,NaN,NaN
1525305600,668.522130762312,810,668.522130762312,742.4825000000001,66.64697931630337,NaN,NaN
1525478400,705.502315381156,839.99,705.502315381156,793.145,70.43217726378005,NaN,NaN
1525651200,749.323657690578,799.14,701,760.8575000000001,65.34259338491157,NaN,NaN
1525824000,755.090578845289,769.88,710.26,737.9125,61.918318337718844,NaN,NaN
1525996800,746.5015394226446,746.5015394226446,633.2,694.265,55.91543408132117,NaN,NaN
1526169600,720.3832697113223,743.9,666.31,705.565,57.075674653545256,NaN,NaN
1526342400,712.9741348556612,740,673.52,711.825,57.739233467926205,NaN,NaN
1526515200,712.3995674278306,719.25,656,693.6625,55.078835124781655,NaN,NaN
1526688000,703.0310337139153,729.88,682.31,705.4024999999999,56.47485946276006,NaN,NaN
1526860800,704.2167668569576,720.46,637.32,678.7325000000001,52.484494650182754,NaN,NaN
1527033600,691.4746334284789,691.4746334284789,550,615.51,44.46402891238743,NaN,NaN
1527206400,653.4923167142395,653.4923167142395,568.7,593.56,42.0608078550121,NaN,NaN
1527379200,623.5261583571197,623.5261583571197,506.11,548.91,37.60797420297309,NaN,NaN
1527552000,586.2180791785598,586.2180791785598,510,541.13,36.87542183664527,NaN,NaN
1527724800,563.6740395892799,590.26,552.98,570.0275,41.438289249267896,NaN,NaN
1527897600,566.85076979464,628.81,566.85076979464,600.0925,45.8257933888917,NaN,NaN
1528070400,583.47163489732,625.47,570.36,606.135,46.69026442451092,NaN,NaN
1528243200,594.80331744866,618,593.4,606.4625,46.73987102080544,NaN,NaN
1528416000,600.63290872433,608.97,591,599.51,45.7662441513749,NaN,NaN
1528588800,600.071454362165,600.071454362165,501.13,554.5325,39.96613472431839,NaN,NaN
1528761600,577.3019771810825,577.3019771810825,449.06,498.6225,34.16912949442971,NaN,NaN
1528934400,537.9622385905412,537.9622385905412,460,487.9875,33.18316332396121,NaN,NaN
1529107200,512.9748692952707,512.9748692952707,483.72,493.98249999999996,34.33345673280189,NaN,NaN
1529280000,503.4786846476353,548.2,487.27,517.6475,38.811560016786736,NaN,NaN
1529452800,510.56309232381767,544.98,510.56309232381767,530.9799999999999,41.24265475329054,NaN,NaN
1529625600,520.7715461619088,526.44,450,494.0425000000001,36.87179049817996,NaN,NaN
1529798400,507.40702308095445,507.40702308095445,419.53,456.86,33.07217825735107,NaN,NaN
1529971200,482.13351154047723,482.13351154047723,420.19,445.41999999999996,31.980238035041054,NaN,NaN
1530144000,463.7767557702386,463.7767557702386,404.48,431.1425,30.62138729913046,NaN,NaN
1530316800,447.4596278851193,463.15,434.51,446.13249999999994,33.801708541435914,NaN,NaN
