time,open,high,low,close,RSI,Regular Bullish Label,Regular Bearish Label
1704067200,2288.69,2297.18,2281.27,2288.9575,NaN,NaN,NaN
1704070800,2288.82375,2306.6,2288.82375,2299.685,NaN,NaN,NaN
1704074400,2294.254375,2304.72,2291.2,2298.165,NaN,NaN,NaN
1704078000,2296.2096874999997,2296.2096874999997,2271,2283.085,NaN,NaN,NaN
1704081600,2289.64734375,2289.64734375,2265.24,2274.6125,NaN,NaN,NaN
1704085200,2282.129921875,2283.36,2272.62,2277.8525,NaN,NaN,NaN
1704088800,2279.9912109375,2283.31,2274.16,2278.815,NaN,NaN,NaN
1704092400,2279.4031054687503,2287.88,2279.4031054687503,2283.9900000000002,NaN,NaN,NaN
1704096000,2281.6965527343755,2287.38,2280,2284.7675,NaN,NaN,NaN
1704099600,2283.2320263671877,2300,2283.2320263671877,2293.4525000000003,NaN,NaN,NaN
1704103200,2288.342263183594,2303,2288.342263183594,2300.5600000000004,NaN,NaN,NaN
1704106800,2294.451131591797,2305.05,2294.451131591797,2302.64,NaN,NaN,NaN
1704110400,2298.5455657958983,2307.24,2298.5455657958983,2302.5449999999996,NaN,NaN,NaN
1704114000,2300.5452828979487,2308.2,2298.07,2302.4625,NaN,NaN,NaN
1704117600,2301.503891448974,2305.11,2294.84,2301.275,59.447022280170465,NaN,NaN
1704121200,2301.389445724487,2318.34,2299.2,2308.3075,63.667765200868025,NaN,NaN
1704124800,2304.8484728622434,2319.55,2304.8484728622434,2312.665,66.02720940758375,NaN,NaN
1704128400,2308.7567364311217,2317.09,2306.48,2311.805,65.12826497417993,NaN,NaN
1704132000,2310.280868215561,2331.77,2310.280868215561,2321.55,70.09647911223195,NaN,NaN
1704135600,2315.9154341077806,2340.98,2315.9154341077806,2331.785,74.24652809888859,NaN,NaN
1704139200,2323.8502170538904,2348.78,2323.8502170538904,2340.57,77.17463680670377,NaN,NaN
1704142800,2332.210108526945,2346.55,2332.2,2339.3900000000003,75.92591309460555,NaN,NaN
1704146400,2335.8000542634727,2339.1,2323.66,2333.7,70.040762603334,NaN,NaN
1704150000,2334.7500271317363,2352.37,2334.17,2343.2,73.70539356448467,NaN,NaN
1704153600,2338.975013565868,2391.43,2338.975013565868,2369.5024999999996,80.7325763025599,NaN,NaN
1704157200,2354.2387567829337,2397.56,2354.2387567829337,2383.4025,83.27619557472828,NaN,NaN
1704160800,2368.820628391467,2382.96,2368.820628391467,2379.4125000000004,80.0109152155246,NaN,NaN
1704164400,2374.1165641957336,2388.61,2371.47,2382.3675,80.61707644538825,NaN,NaN
1704168000,2378.2420320978667,2390.44,2378.2420320978667,2385.775,81.32051037745298,NaN,NaN
1704171600,2382.0085160489334,2392.4,2377.18,2383.68,79.41230687226917,NaN,NaN
1704175200,2382.8442580244664,2383.68,2373.86,2377.2175,73.66963105183746,NaN,NaN
1704178800,2380.0308790122335,2388.93,2373.69,2380.58,74.69499793308728,NaN,NaN
1704182400,2380.3054395061167,2431.3,2380.09,2405.9300000000003,80.77378031087392,NaN,NaN
