time,open,high,low,close,RSI,Regular Bullish Label,Regular Bearish Label
1502928000,301.565,312.18,298,303.3275,NaN,NaN,NaN
1503014400,302.44624999999996,311.79,283.94,297.9225,NaN,NaN,NaN
1503100800,300.184375,300.184375,278,290.6925,NaN,NaN,NaN
1503187200,295.43843749999996,300.53,282.85,293.3475,NaN,NaN,NaN
1503273600,294.39296875,346.52,294.39296875,315.8775,NaN,NaN,NaN
1503360000,305.135234375,330.41,144.21,276.9275,NaN,NaN,NaN
1503446400,291.0313671875,324.99,291.0313671875,315.5975,NaN,NaN,NaN
1503532800,303.31443359375,328.04,303.31443359375,320.3025,NaN,NaN,NaN
1503619200,311.808466796875,338.28,311.808466796875,328.09000000000003,NaN,NaN,NaN
1503705600,319.9492333984375,335.44,319.9492333984375,329.22,NaN,NaN,NaN
1503792000,324.58461669921877,348.13,324.58461669921877,339.7925,NaN,NaN,NaN
1503878400,332.18855834960937,351,331.95,344.265,NaN,NaN,NaN
1503964800,338.2267791748047,377.6,338.2267791748047,361.075,NaN,NaN,NaN
1504051200,349.65088958740233,393.71,349.65088958740233,379.0975,NaN,NaN,NaN
1504137600,364.3741947937012,389.36,364.3741947937012,384.1425,71.9623882381716,NaN,NaN
1504224000,374.2583473968506,394.39,374.2583473968506,387.70500000000004,72.5350987844435,NaN,NaN
1504310400,380.9816736984253,394.32,320.08,361.5,62.432785165797945,NaN,NaN
1504396800,371.24083684921266,371.24083684921266,320.08,343.0675,56.47464257266473,NaN,NaN
1504483200,357.1541684246063,357.1541684246063,267.94,309.5075,47.57281070344117,NaN,NaN
1504569600,333.33083421230316,333.33083421230316,235.55,288.99249999999995,43.100402131634375,NaN,NaN
1504656000,311.1616671061515,336.34,311.1616671061515,324.18,51.51926490235027,NaN,NaN
1504742400,317.6708335530758,342.5,317.6708335530758,333.04,53.389341788016075,NaN,NaN
1504828800,325.35541677653794,335.1,272,311.145,48.41883664454506,NaN,NaN
1504915200,318.25020838826896,318.25020838826896,281.66,297.0975,45.492498395073824,NaN,NaN
1505001600,307.6738541941345,307.6738541941345,261.03,288.5075,43.75117783007091,NaN,NaN
1505088000,298.0906770970672,304.98,285.21,295.2475,45.51347627200616,NaN,NaN
1505174400,296.66908854853364,316.46,286.01,298.4325,46.368581441842345,NaN,NaN
1505260800,297.5507942742668,297.5507942742668,257.05,280.605,42.361168851719555,NaN,NaN
1505347200,289.0778971371334,289.0778971371334,215,247.72250000000003,36.154462180186634,NaN,NaN
1505433600,268.4001985685667,270.93,192,233.23250000000002,33.804018461209765,NaN,NaN
1505520000,250.81634928428335,271.81,235.51,253.15499999999997,39.61655836016192,NaN,NaN
1505606400,251.98567464214165,264.39,239.02,252.5675,39.506391643942045,NaN,NaN
1505692800,252.27658732107082,306.22,252.27658732107082,278.8625,46.6563915828491,NaN,NaN
1505779200,265.56954366053543,300,265.56954366053543,288.995,49.15047825182578,NaN,NaN
1505865600,277.28227183026775,294,275.91,283.98,47.95537493937593,NaN,NaN
1505952000,280.6311359151339,287,252.1,269.525,44.5899022948367,NaN,NaN
1506038400,275.07806795756693,275.07806795756693,253.01,261.745,42.84699099119178,NaN,NaN
1506124800,268.4115339787835,286.23,255.11,272.8175,46.077420021454884,NaN,NaN
1506211200,270.61451698939175,294.61,270.61451698939175,284.385,49.301422596731186,NaN,NaN
1506297600,277.49975849469587,299,277.49975849469587,289.19,50.62209749034323,NaN,NaN
1506384000,283.34487924734793,296.81,283.34487924734793,291.3425,51.23493230819758,NaN,NaN
1506470400,287.343689623674,313,286.13,299.69500000000005,53.63939422705618,NaN,NaN
1506556800,293.519344811837,311.81,293.519344811837,305.21999999999997,55.21252956797383,NaN,NaN
1506643200,299.3696724059185,303,274,292.915,51.05717766231131,NaN,NaN
1506729600,296.14233620295926,307.49,292.22,299.1725,52.99458945056153,NaN,NaN
1506816000,297.6574181014796,306,294,302.0775,53.90680959690318,NaN,NaN
1506902400,299.8674590507398,305,295,300.11,53.154417098547746,NaN,NaN
1506988800,299.9887295253699,301.99,283.18,293.95,50.765399809238836,NaN,NaN
1507075200,296.9693647626849,297.97,288,292.6075,50.23548169013672,NaN,NaN
1507161600,294.78843238134243,297.44,285.53,291.945,49.95833786246318,NaN,NaN
1507248000,293.36671619067124,310.8,293.36671619067124,302.5475,54.303305152243894,NaN,NaN
1507334400,297.9571080953356,318.5,297.9571080953356,310.7525,57.386870803706046,NaN,NaN
1507420800,304.3548040476678,317.07,304.3548040476678,312.055,57.8728462834215,NaN,NaN
1507507200,308.20490202383394,312.13,286.65,301.775,52.75878656858941,NaN,NaN
1507593600,304.98995101191696,308.56,293,299.38750000000005,51.617941723139964,NaN,NaN
1507680000,302.1887255059585,305.5,298.02,301.5425,52.613967800358125,NaN,NaN
1507766400,301.86561275297925,310,301.86561275297925,305.1775,54.32214869144397,NaN,NaN
1507852800,303.5215563764896,353.96,297,323.2275,61.704414838668285,NaN,NaN
1507939200,313.3745281882448,349.8,313.3745281882448,341.19,67.35812330306383,NaN,NaN
1508025600,327.2822640941224,348,316.17,336.0325,64.41745913516927,NaN,NaN
1508112000,331.6573820470612,354,331.6573820470612,339.9825,65.65418053635582,NaN,NaN
1508198400,335.81994102353065,336.58,312.65,324.9,57.44420166684655,NaN,NaN
1508284800,330.3599705117653,330.3599705117653,284.68,306.89250000000004,49.487391611985345,NaN,NaN
1508371200,318.62623525588265,318.62623525588265,300,308.34000000000003,50.08589404660821,NaN,NaN
1508457600,313.48311762794134,313.48311762794134,302,306.5875,49.32390674900395,NaN,NaN
1508544000,310.0353088139707,310.0353088139707,290,299.6975,46.3390382944229,NaN,NaN
1508630400,304.86640440698534,306.99,290,297.43,45.36604158412825,NaN,NaN
1508716800,301.1482022034927,301.1482022034927,272.2,285.42,40.51374696826032,NaN,NaN
1508803200,293.2841011017464,310,275.5,291.2875,43.68295611049456,NaN,NaN
1508889600,292.2858005508732,300,281,293.2175,44.72609780797524,NaN,NaN
1508976000,292.7516502754366,299.76,291.03,294.9975,45.72461093197177,NaN,NaN
1509062400,293.8745751377183,298.1,292.03,295.29249999999996,45.8990425862321,NaN,NaN
1509148800,294.58353756885913,297,290.1,293.825,45.12216417515223,NaN,NaN
1509235200,294.2042687844296,309.4,291.86,299.5325,48.75505972195185,NaN,NaN
1509321600,296.8683843922148,316,296.8683843922148,307.5875,53.439697695559346,NaN,NaN
