time,open,high,low,close,RSI,Regular Bullish Label,Regular Bearish Label
1640995200,46514.35,46949.99,46208.37,46546.765,NaN,NaN,NaN
1641006000,46530.557499999995,47555.55,46530.557499999995,47037.77500000001,NaN,NaN,NaN
1641016800,46784.16625,47344.69,46784.16625,47131.7275,NaN,NaN,NaN
1641027600,46957.946875,47298.75,46715.39,46974.457500000004,NaN,NaN,NaN
1641038400,46966.20218750001,47199.67,46756.3,46910.26500000001,NaN,NaN,NaN
1641049200,46938.23359375,47954.63,46871.69,47375.20250000001,NaN,NaN,NaN
1641060000,47156.718046875,47844.97,47156.718046875,47560.36,NaN,NaN,NaN
1641070800,47358.5390234375,47814,47222.22,47537.6725,NaN,NaN,NaN
1641081600,47448.10576171875,47750,47275.5,47529.665,NaN,NaN,NaN
1641092400,47488.88538085937,47488.88538085937,46770.23,47172.277500000004,NaN,NaN,NaN
1641103200,47330.58144042968,47330.58144042968,46970.05,47143.4325,NaN,NaN,NaN
1641114000,47237.00697021485,47499.45,47140.3,47274.412500000006,NaN,NaN,NaN
1641124800,47255.709735107426,47447,47013.5,47202.985,NaN,NaN,NaN
1641135600,47229.34736755371,47990,47071.27,47393.7375,NaN,NaN,NaN
1641146400,47311.542433776856,47401.14,46654,47115.854999999996,61.182791050465816,NaN,NaN
1641157200,47213.69871688842,47469.34,46913.27,47168.9825,62.03642257567557,NaN,NaN
1641168000,47191.34060844421,47289.11,46858.44,47108.427500000005,60.405848836800395,NaN,NaN
1641178800,47149.88405422211,47211.09,46722.39,47003.02500000001,57.56942468876481,NaN,NaN
1641189600,47076.454527111055,47135.97,46852.38,47011.4525,57.740288952109864,NaN,NaN
1641200400,47043.95351355553,47431.67,46778,47141.619999999995,60.39324506372573,NaN,NaN
1641211200,47092.78675677776,47570,46765,47146.8825,60.50120475152437,NaN,NaN
1641222000,47119.83462838888,47119.83462838888,46263.29,46683.2425,48.069392014827834,NaN,NaN
1641232800,46901.538564194445,46901.538564194445,45696,46234.03,39.58281217574517,NaN,NaN
1641243600,46567.78428209722,46576.94,45811.87,46189.23,38.84622565784198,NaN,NaN
1641254400,46378.50714104861,46549.19,45934.5,46258.287500000006,40.678730283205766,NaN,NaN
1641265200,46318.39732052431,46411.12,45996.26,46165.600000000006,38.989963636844266,NaN,NaN
1641276000,46241.99866026216,46682.06,46058.51,46344.63250000001,43.83979183509989,NaN,NaN
