time,open,high,low,close,RSI,Regular Bullish Label,Regular Bearish Label
1514764800,13637.32,13715.65,13155.38,13536.4175,NaN,NaN,NaN
1514786400,13586.86875,13818.55,13001.13,13394.81,NaN,NaN,NaN
1514808000,13490.839375,13490.839375,12750,13080.64,NaN,NaN,NaN
1514829600,13285.7396875,13599.7,12940,13231.8925,NaN,NaN,NaN
1514851200,13258.81609375,13850,12890.02,13322.282500000001,NaN,NaN,NaN
1514872800,13290.549296875,13617.28,13041.5,13328.9325,NaN,NaN,NaN
1514894400,13309.7408984375,13894.86,13309.7408984375,13653.83,NaN,NaN,NaN
1514916000,13481.78544921875,15473.49,13481.78544921875,14423.5025,NaN,NaN,NaN
1514937600,13952.643974609375,15299.99,13952.643974609375,14909.4975,NaN,NaN,NaN
1514959200,14431.070737304686,15307.56,14150,14792.125,NaN,NaN,NaN
1514980800,14611.597868652343,15130,14400.04,14773.692500000001,NaN,NaN,NaN
1515002400,14692.645184326171,14990,14671,14845.1275,NaN,NaN,NaN
1515024000,14768.886342163085,15280,14649.99,14931.15,NaN,NaN,NaN
1515045600,14850.018171081541,15100,13918.04,14612.0025,NaN,NaN,NaN
1515067200,14731.01033554077,14731.01033554077,14181.88,14506.039999999999,66.14419044907481,NaN,NaN
1515088800,14618.525167770385,15100.08,14601,14852.155,69.88244139487544,NaN,NaN
1515110400,14735.340083885192,15200,14600,14964.89,71.0054290117939,NaN,NaN
1515132000,14850.115041942596,16350,14700,15534.9225,75.89890544777649,NaN,NaN
1515153600,15192.5187709713,17118.13,15192.5187709713,16402.2075,81.11988837449178,NaN,NaN
1515175200,15797.36313548565,17176.24,15797.36313548565,16774.1575,82.8370632290096,NaN,NaN
1515196800,16285.760317742825,17099.99,16285.760317742825,16747.805,82.26617223046458,NaN,NaN
1515218400,16516.782658871412,16750.01,16340,16564.43,78.22615272944194,NaN,NaN
1515240000,16540.606329435708,16982,16011.21,16597.075,78.42924284651785,NaN,NaN
1515261600,16568.840664717856,17143.13,16568.840664717856,16912.4825,80.3374818993895,NaN,NaN
1515283200,16740.661582358927,17099.96,16400,16783.4375,77.32355274563236,NaN,NaN
1515304800,16762.04954117946,16886.75,16400,16614.4375,73.43788900378395,NaN,NaN
1515326400,16688.24352058973,16688.24352058973,15715.06,16193.78,64.71987256819692,NaN,NaN
1515348000,16441.011760294867,16500,15610,16015.01,61.38477273726511,NaN,NaN
1515369600,16228.010880147434,16322.3,15476,15946.465,60.10582276948207,NaN,NaN
1515391200,16087.237940073717,16087.237940073717,14551,15410.3475,51.13240285363216,NaN,NaN
1515412800,15748.792720036858,15748.792720036858,12812,14606.2375,41.19770559612855,NaN,NaN
1515434400,15177.515110018428,15270.99,14392.32,14826.4125,44.38406599421061,NaN,NaN
1515456000,15001.963805009214,15500,14670,14988.135,46.669978012857165,NaN,NaN
1515477600,14995.049402504606,15300,14170.33,14769.0825,44.03016571880844,NaN,NaN
1515499200,14882.065951252303,14998.62,14011.05,14671.412499999999,42.865918414835384,NaN,NaN
1515520800,14776.739225626152,14990,14125,14616.244999999999,42.18736487666424,NaN,NaN
1515542400,14696.492112813075,14696.492112813075,13750,14191.93,37.29705587045011,NaN,NaN
1515564000,14444.211056406537,14444.211056406537,13131.31,13884.2875,34.201480129456044,NaN,NaN
1515585600,14164.249278203268,14698.12,13500,14171.18,39.264041700207606,NaN,NaN
1515607200,14167.714639101634,14955.66,14167.714639101634,14646.425,46.59438269814253,NaN,NaN
1515628800,14407.069819550816,14968.68,11400,13544.380000000001,35.80324688547127,NaN,NaN
1515650400,13975.724909775408,13975.724909775408,12780.03,13232.6675,33.44390869181453,NaN,NaN
1515672000,13604.196204887703,14400,13282.13,13679.31,39.587022184238435,NaN,NaN
1515693600,13641.75310244385,13849.99,12511,13312.445,36.59889154469921,NaN,NaN
1515715200,13477.099051221925,13880,12500,13292.19,36.43536790108547,NaN,NaN
1515736800,13384.644525610962,14109.78,13301.99,13715.447499999998,42.242699295160826,NaN,NaN
1515758400,13550.04601280548,14059.48,13222,13675.3775,41.85286003302229,NaN,NaN
1515780000,13612.71175640274,13900,13350,13627.5175,41.361870626739574,NaN,NaN
1515801600,13620.114628201369,14250,13620.114628201369,13959.025,46.080323342686526,NaN,NaN
1515823200,13789.569814100683,14320,13789.569814100683,14148.805,48.628801777838376,NaN,NaN
1515844800,13969.187407050342,14580,13969.187407050342,14286.8875,50.46336656927585,NaN,NaN
1515866400,14128.037453525172,14350,13923.18,14200.295,49.27495755373996,NaN,NaN
1515888000,14164.166226762587,14339.5,13359.07,13918.115,45.513464636186654,NaN,NaN
1515909600,14041.140613381292,14041.140613381292,13120,13512.63,40.70491514146499,NaN,NaN
1515931200,13776.885306690645,13776.885306690645,12569.2,13136.64,36.82030240605141,NaN,NaN
1515952800,13456.762653345322,13600.8,13081,13359.252499999999,40.44425472996546,NaN,NaN
1515974400,13408.00757667266,13733.52,13215.56,13486.7675,42.47953278240523,NaN,NaN
1515996000,13447.38753833633,13740.27,13147.79,13513.247500000001,42.91580479882229,NaN,NaN
1516017600,13480.317519168166,14249.99,13480.317519168166,13810.052499999998,47.70369186968329,NaN,NaN
1516039200,13645.185009584082,13899,13340.64,13645.155,45.42417602186248,NaN,NaN
1516060800,13645.170004792042,13645.170004792042,12501,13149.7325,39.3415825794281,NaN,NaN
1516082400,13397.451252396022,13397.451252396022,10620.88,12229.3,31.028480077981953,NaN,NaN
1516104000,12813.37562619801,12813.37562619801,10878,11532.22,26.46712896390757,NaN,NaN
1516125600,12172.797813099005,12172.797813099005,9035,10589.127499999999,21.798264457902334,NaN,NaN
1516147200,11380.962656549502,11488.88,9777,10676.465,23.150268347080953,NaN,NaN
1516168800,11028.713828274751,11111,9587.99,10260.2925,21.26375925574912,NaN,NaN
1516190400,10644.503164137375,10644.503164137375,9037.94,9772.16,19.279295957268616,NaN,NaN
1516212000,10208.331582068688,11680.99,9620.03,10532.455,30.20515222019722,NaN,NaN
1516233600,10370.393291034343,11600,10370.393291034343,10968.4525,35.589278686221334,NaN,NaN
1516255200,10669.422895517171,11499,10435.33,11034.3075,36.387500853642685,NaN,NaN
1516276800,10851.865197758587,11878.82,10851.865197758587,11275.7325,39.35466251121455,NaN,NaN
1516298400,11063.798848879294,11742.95,10635.3,11062.6375,37.683842628661566,NaN,NaN
1516320000,11063.218174439648,11435,10360,10968.76,36.93979478899494,NaN,NaN
1516341600,11015.989087219823,11596,10901.11,11283.085000000001,41.13095949235623,NaN,NaN
1516363200,11149.537043609911,11795,11123,11422.2775,42.93953340116881,NaN,NaN
1516384800,11285.907271804956,11487.39,11003,11302.842499999999,41.75417502400953,NaN,NaN
1516406400,11294.374885902478,12869,11294.374885902478,12126.86,51.66753358740478,NaN,NaN
1516428000,11710.61744295124,12844,11710.61744295124,12558.485,55.90138669940753,NaN,NaN
1516449600,12134.55122147562,12985,12134.55122147562,12598.8225,56.286773435261374,NaN,NaN
1516471200,12366.68686073781,13099,12366.68686073781,12837.235,58.59022672274254,NaN,NaN
1516492800,12601.960930368905,12799.8,11854.48,12348.055,52.479654681728206,NaN,NaN
1516514400,12475.007965184453,12475.007965184453,11300,11912.7,47.710612044875184,NaN,NaN
1516536000,12193.853982592227,12291.35,11024,11705.24,45.58474880267589,NaN,NaN
1516557600,11949.546991296113,11949.546991296113,10965,11338.86,42.02355815212744,NaN,NaN
1516579200,11644.203495648057,11770,11149,11479.75,43.84046335544647,NaN,NaN
1516600800,11561.976747824028,11926.35,11231,11466.8375,43.70527806235914,NaN,NaN
1516622400,11514.407123912013,11514.407123912013,10139.97,10824.9925,37.513120304015764,NaN,NaN
1516644000,11169.699811956007,11169.699811956007,9900.24,10511.822499999998,34.913910745917846,NaN,NaN
1516665600,10840.761155978002,10998,10233.01,10588.5825,36.08291095937803,NaN,NaN
1516687200,10714.671827989001,10714.671827989001,9905,10264.23,33.356601347867255,NaN,NaN
1516708800,10489.4509139945,11399,9987.02,10664.6625,39.4401266479581,NaN,NaN
1516730400,10577.05670699725,11344.95,10577.05670699725,10987.9375,43.89302252792872,NaN,NaN
1516752000,10782.497103498625,10894.08,10500,10708.55,41.08161002267751,NaN,NaN
1516773600,10745.523551749313,11234,10630,10902.0175,43.76758257311608,NaN,NaN
1516795200,10823.770525874657,11570.48,10823.770525874657,11167.1325,47.31221804760249,NaN,NaN
1516816800,10995.451512937329,11390,10995.451512937329,11216.24,47.96650168429129,NaN,NaN
1516838400,11105.845756468665,11794.05,11105.845756468665,11504.369999999999,51.75230502406201,NaN,NaN
1516860000,11305.107878234332,11675,11147.07,11415.515,50.53131065001785,NaN,NaN
1516881600,11360.311439117166,11360.311439117166,10950.21,11137.235,46.80673245632369,NaN,NaN
1516903200,11248.773219558583,11395,11050.86,11167.997500000001,47.269436464416955,NaN,NaN
1516924800,11208.385359779291,11643,11160.43,11337.032500000001,49.850806363462546,NaN,NaN
1516946400,11272.708929889646,11440,10311.15,10904.295,43.922778801360664,NaN,NaN
1516968000,11088.501964944822,11399,10410,10876.5025,43.56446938529024,NaN,NaN
1516989600,10982.502232472412,11220,10800.93,11074.2325,46.88433620398585,NaN,NaN
